boundary_points_occupancies,uniform_volume_points_occupancies
0.9405445762389548,0.9773144982994642
0.9883760755088595,0.9944873976976267
0.9959955668714503,0.9976734636925204
0.9951787154574887,0.9976710143920462
0.9694132406361813,0.9885617569089726
0.9661249771229079,0.9978989049727297
0.9924351135211504,0.997180007384322
0.9662003938815249,0.9873403631059168
0.9832553753538055,0.9967138954442418
0.5021764239593318,0.5118163397983093
0.9468452544613957,0.9707647409275981
0.9845950186624792,0.9808870788275443
0.9937394735815706,0.9981772163519838
0.9705808181216817,0.9950096034423932
0.9896502265743495,0.9950080134184014
0.722816398564711,0.7858918401026119
0.8982888061868329,0.9635281180924097
0.8914262413192419,0.9630396915580963
0.7609066901998388,0.922118660628794
0.9775695920504223,0.9943434369328034
0.9042878977900726,0.9685851663019004
0.9893867277139052,0.9924118941338157
0.9918223804875079,0.9981985087035359
0.9930231035009119,0.9971821954529483
0.9901221230901711,0.9972347669240711
0.9905828397941008,0.996792352372103
0.8714682975641317,0.9454156378380889
0.9673224273354998,0.9948693619690783
0.9116891521851378,0.9641071126612828
0.991127820668793,0.993647885999744
0.9956573391577983,0.9936711651418677
0.9947918189661502,0.9995102859079448
0.8987075253977594,0.9734853873593167
0.9025385935401671,0.9666858067058629
0.986457175883378,0.9917222601255038
0.9901422780474953,0.991242185229533
0.8043701456501902,0.8900567746414763
0.9882086295960606,0.9936725936716407
0.9941727955966582,0.9981674235283315
0.9911143999146059,0.9974311201802205
0.9908758551661471,0.9962570450590063
0.9909450863756109,0.9973455416787074
0.9934717543514688,0.9977062233802597
0.9165279511597392,0.9866259847494396
0.9954326874009162,0.9997771917428098
0.9934344278509739,0.9957145142830599
0.949546139552527,0.9708460409851962
0.9880316931965429,0.9963192421169658
0.9806466724126008,0.9917105639306207
0.9936590155824936,0.9984264531278639
